date,open,high,low,close,volume
2009-04-13,1.31862,1.3378,1.3127,1.3358,222884
2009-04-14,1.33565,1.33915,1.3226,1.329,500971
2009-04-15,1.329,1.32975,1.3146,1.3188,607164
2009-04-16,1.3188,1.3268,1.31265,1.31715,627989
2009-04-17,1.31715,1.3197,1.30255,1.3027,607533
2009-04-18,1.3027,1.30445,1.3017,1.3043,18818
2009-04-20,1.30577,1.30591,1.2891,1.2922,529847
2009-04-21,1.29215,1.29935,1.28965,1.2927,554718
2009-04-22,1.2928,1.3037,1.28845,1.3018,600016
2009-04-23,1.30175,1.3122,1.29795,1.31145,525854
2009-04-24,1.31145,1.3301,1.3103,1.32475,580257
2009-04-25,1.3248,1.32715,1.3233,1.32395,19600
2009-04-27,1.3244,1.32458,1.29985,1.30205,534483
2009-04-28,1.30205,1.3166,1.29635,1.3146,500230
2009-04-29,1.31455,1.3339,1.312,1.3294,474995
2009-04-30,1.3294,1.33855,1.31905,1.3262,482002
2009-05-01,1.3262,1.33275,1.32145,1.3266,331310
2009-05-02,1.3266,1.3271,1.32545,1.32705,11510
2009-05-04,1.32678,1.34222,1.3212,1.3373,429885
2009-05-05,1.3373,1.34375,1.3282,1.33115,406940
2009-05-06,1.3312,1.33745,1.32455,1.3349,495409
2009-05-07,1.33485,1.347,1.32515,1.3372,379657
2009-05-08,1.3372,1.3628,1.33415,1.3621,370456
2009-05-09,1.362,1.365,1.36045,1.3639,29144
2009-05-11,1.3644,1.3667,1.3557,1.35965,582185
2009-05-12,1.35965,1.37075,1.35625,1.364,762511
2009-05-13,1.36395,1.3722,1.3566,1.361,621179
2009-05-14,1.361,1.3665,1.35245,1.36505,465574
2009-05-15,1.36505,1.3658,1.3462,1.3474,400618
2009-05-16,1.3475,1.3495,1.34675,1.34945,14122
2009-05-18,1.34778,1.35445,1.3423,1.35335,463606
2009-05-19,1.3533,1.3657,1.3525,1.36535,508327
2009-05-20,1.3653,1.3829,1.35835,1.38055,496892
2009-05-21,1.3805,1.3923,1.3728,1.3889,544047
2009-05-22,1.3889,1.405,1.3872,1.40115,656267
2009-05-23,1.40115,1.40165,1.39895,1.39955,12954
2009-05-25,1.40169,1.4048,1.39575,1.40155,381913
2009-05-26,1.40155,1.4022,1.386,1.3984,815072
2009-05-27,1.3984,1.40005,1.3871,1.3918,766356
2009-05-28,1.3919,1.3983,1.3793,1.3963,805598
2009-05-29,1.3963,1.41685,1.3924,1.41345,814079
2009-05-30,1.4135,1.41625,1.41255,1.41565,29024
2009-06-01,1.41449,1.4246,1.4099,1.417,761806
2009-06-02,1.417,1.43275,1.41015,1.43185,793227
2009-06-03,1.43185,1.4337,1.41085,1.41345,817130
2009-06-04,1.41345,1.4241,1.407,1.4177,960278
2009-06-05,1.4178,1.42675,1.39325,1.3962,777286
2009-06-06,1.3962,1.39735,1.3956,1.3965,27432
2009-06-08,1.3968,1.4002,1.3805,1.3893,801213
2009-06-09,1.3892,1.4101,1.3852,1.40775,760557
2009-06-10,1.4078,1.41435,1.3915,1.39675,702651
2009-06-11,1.3968,1.41715,1.3943,1.4128,667795
2009-06-12,1.4128,1.4135,1.3936,1.40095,711744
2009-06-13,1.40095,1.4024,1.3992,1.4015,21514
2009-06-15,1.39929,1.40002,1.37575,1.37896,234361
2009-06-16,1.37891,1.39196,1.37484,1.38443,203889
2009-06-17,1.38442,1.39675,1.38067,1.39635,204808
2009-06-18,1.39628,1.39897,1.38855,1.38907,204376
2009-06-19,1.3891,1.4012,1.38819,1.39565,326478
2009-06-20,1.3956,1.39645,1.39305,1.3938,12943
2009-06-22,1.39468,1.3955,1.3826,1.3868,521517
2009-06-23,1.3868,1.4108,1.38285,1.40825,622252
2009-06-24,1.40825,1.4138,1.38875,1.3924,567366
2009-06-25,1.39235,1.40113,1.38885,1.39856,524382
2009-06-26,1.39854,1.4118,1.39785,1.4077,491690
