,mopen,mhigh,mlow,mclose,mvolume,hopen,hhigh,hlow,hclose,hvolume,dopen,dhigh,dlow,dclose,dvolume,ema_20_1h_c,atr_14_1h,ematrTopBuy,ematrBottomBuy,ematrTopSell,ematrBottomSell,leaveBuyZone,leaveSellZone
2021-03-18 19:10:00,151.848,151.86,151.796,151.842,861.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:15:00,151.84,151.856,151.799,151.826,1028.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:20:00,151.827,151.866,151.809,151.85,890.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:25:00,151.85,151.907,151.838,151.906,1168.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:30:00,151.909,151.934,151.877,151.933,1248.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:35:00,151.931,151.957,151.913,151.935,1322.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:40:00,151.934,151.984,151.926,151.939,1514.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:45:00,151.938,151.954,151.906,151.944,994.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:50:00,151.943,151.947,151.9,151.925,762.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:55:00,151.926,151.947,151.871,151.877,1007.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 20:00:00,151.875,151.928,151.833,151.92,1063.0,151.875,152.098,151.82,151.87,10149.0,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:05:00,151.921,151.931,151.846,151.857,658.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:10:00,151.857,151.885,151.832,151.858,664.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:15:00,151.859,151.868,151.823,151.855,834.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:20:00,151.854,151.854,151.82,151.833,685.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:25:00,151.834,151.924,151.821,151.923,696.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:30:00,151.923,152.018,151.922,152.008,837.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:35:00,152.008,152.047,151.996,152.046,848.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:40:00,152.046,152.07,152.036,152.037,630.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:45:00,152.036,152.036,151.957,152.018,707.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:50:00,152.019,152.098,152.016,152.038,1132.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 20:55:00,152.037,152.037,151.821,151.87,1395.0,,,,,,,,,,,152.00425196033277,0.295571428571433,152.00425196033277,151.70868053176133,152.2998233889042,152.00425196033277,False,False
2021-03-18 21:00:00,151.871,151.94,151.855,151.94,1132.0,151.871,151.997,151.855,151.928,8547.0,,,,,,151.9969898688725,0.3002857142857209,151.9969898688725,151.6967041545868,152.2972755831582,151.9969898688725,False,False
2021-03-18 21:05:00,151.94,151.959,151.91,151.952,813.0,,,,,,,,,,,151.9969898688725,0.3002857142857209,151.9969898688725,151.6967041545868,152.2972755831582,151.9969898688725,False,False
2021-03-18 21:10:00,151.953,151.991,151.923,151.965,867.0,,,,,,,,,,,151.9969898688725,0.3002857142857209,151.9969898688725,151.6967041545868,152.2972755831582,151.9969898688725,False,False
2021-03-18 21:15:00,151.965,151.991,151.954,151.969,808.0,,,,,,,,,,,151.9969898688725,0.3002857142857209,151.9969898688725,151.6967041545868,152.2972755831582,151.9969898688725,False,False
2021-03-18 21:20:00,151.971,151.975,151.941,151.967,618.0,,,,,,,,,,,151.9969898688725,0.3002857142857209,151.9969898688725,151.6967041545868,152.2972755831582,151.9969898688725,False,False
2021-03-18 21:25:00,151.969,151.997,151.95,151.96,448.0,,,,,,,,,,,151.9969898688725,0.3002857142857209,151.9969898688725,151.6967041545868,152.2972755831582,151.9969898688725,False,False
2021-03-18 21:30:00,151.96,151.97,151.894,151.911,554.0,,,,,,,,,,,151.9969898688725,0.3002857142857209,151.9969898688725,151.6967041545868,152.2972755831582,151.9969898688725,False,False
2021-03-18 21:35:00,151.913,151.939,151.885,151.936,659.0,,,,,,,,,,,151.9969898688725,0.3002857142857209,151.9969898688725,151.6967041545868,152.2972755831582,151.9969898688725,False,False
