,mopen,mhigh,mlow,mclose,mvolume,hopen,hhigh,hlow,hclose,hvolume,dopen,dhigh,dlow,dclose,dvolume,ema_20_1h_c,atr_14_1h,ematrTopBuy,ematrBottomBuy,ematrTopSell,ematrBottomSell,leaveBuyZone,leaveSellZone
2021-03-23 03:05:00,1.19336,1.19338,1.19316,1.19317,84.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:10:00,1.19318,1.1933,1.19317,1.19329,60.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:15:00,1.19329,1.19349,1.19329,1.1934,67.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:20:00,1.19341,1.19345,1.1934,1.1934,22.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:25:00,1.19341,1.19341,1.19329,1.1933,83.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:30:00,1.1933,1.19344,1.19329,1.19343,58.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:35:00,1.19342,1.19345,1.19322,1.19329,91.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:40:00,1.19329,1.19337,1.19327,1.19335,110.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:45:00,1.19336,1.19346,1.19331,1.19337,52.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:50:00,1.19337,1.19342,1.19332,1.19335,42.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 03:55:00,1.19336,1.19342,1.19334,1.19335,52.0,,,,,,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
2021-03-23 04:00:00,1.19336,1.19357,1.1933,1.19357,97.0,1.19336,1.19357,1.19286,1.19322,1418.0,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:05:00,1.19356,1.19356,1.19344,1.19344,61.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:10:00,1.19344,1.19346,1.1932,1.19321,145.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:15:00,1.1932,1.19325,1.19311,1.19316,177.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:20:00,1.19317,1.19328,1.19317,1.19321,42.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:25:00,1.19321,1.19324,1.19303,1.19313,158.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:30:00,1.19314,1.19319,1.193,1.19301,114.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:35:00,1.193,1.1932,1.19296,1.19309,105.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:40:00,1.1931,1.19313,1.19298,1.193,138.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:45:00,1.19299,1.19304,1.19295,1.193,128.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:50:00,1.193,1.19304,1.19286,1.19304,165.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 04:55:00,1.19303,1.19332,1.19303,1.19322,88.0,,,,,,,,,,,1.1923187921411136,0.0010949999999999,1.1923187921411136,1.1912237921411135,1.1934137921411134,1.1923187921411136,False,False
2021-03-23 05:00:00,1.19323,1.19377,1.19322,1.19376,325.0,1.19323,1.19407,1.19283,1.19334,2927.0,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:05:00,1.19376,1.19381,1.19366,1.19377,118.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:10:00,1.19376,1.19394,1.19371,1.19392,191.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:15:00,1.19392,1.19407,1.1937,1.19382,351.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:20:00,1.19382,1.19382,1.19342,1.19346,298.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:25:00,1.19344,1.19344,1.19283,1.19298,341.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:30:00,1.19298,1.19335,1.19291,1.19329,185.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:35:00,1.19329,1.1934,1.19314,1.19316,115.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:40:00,1.19315,1.19333,1.19315,1.19319,109.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:45:00,1.19318,1.19329,1.19311,1.19315,161.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
2021-03-23 05:50:00,1.19315,1.19335,1.19299,1.19324,442.0,,,,,,,,,,,1.192416050032436,0.0011014285714285,1.192416050032436,1.1913146214610073,1.1935174786038645,1.192416050032436,False,False
